date,sessionSource,sessions_last_30_days,activeUsers_last_30_days,screenPageViews_last_30_days
2025-06-15,google,604,477,3113
2025-07-06,google,500,381,3297
2025-06-14,google,477,368,2306
2025-06-11,google,472,359,2429
2025-07-07,google,461,325,2807
2025-06-16,google,452,332,2023
2025-06-12,google,436,323,2003
2025-06-22,google,435,335,2586
2025-06-18,google,433,302,2501
2025-06-17,google,432,310,2585
2025-06-23,google,429,320,2244
2025-07-03,google,427,321,2475
2025-06-24,google,423,305,2293
2025-07-05,google,423,316,4038
2025-06-29,google,416,314,2175
2025-06-19,google,414,281,2335
2025-06-28,google,405,292,2323
2025-07-01,google,404,289,2074
2025-06-21,google,403,297,2152
2025-07-09,google,403,300,1935
2025-06-30,google,397,283,2686
2025-07-08,google,395,293,1999
2025-06-13,google,390,302,1916
2025-06-25,google,383,281,2074
2025-07-02,google,371,275,2675
2025-07-04,google,363,255,3468
2025-06-27,google,352,266,1907
2025-06-26,google,351,262,2154
2025-07-10,google,343,255,1703
2025-06-20,google,321,233,1499
2025-06-11,(direct),112,85,523
2025-07-07,(direct),110,97,2440
2025-06-12,(direct),103,62,574
2025-07-06,(direct),93,79,668
2025-06-16,(direct),91,61,871
2025-06-17,(direct),91,61,840
2025-07-03,probance,89,58,614
2025-06-15,(direct),88,70,569
2025-07-09,(direct),87,60,670
2025-07-09,probance,86,72,557
2025-06-13,(direct),83,60,544
2025-06-18,(direct),83,53,389
2025-06-19,(direct),83,64,439
2025-06-30,(direct),79,65,479
2025-06-25,(direct),76,60,579
2025-07-02,probance,76,56,352
2025-07-03,(direct),74,60,513
2025-07-08,(direct),73,63,734
2025-06-21,(direct),71,51,360
2025-06-22,(direct),70,54,592
2025-06-20,(direct),67,54,277
2025-06-23,(direct),67,52,373
2025-07-02,(direct),67,57,581
2025-07-01,(direct),65,51,510
2025-07-04,(direct),64,43,585
2025-07-10,(direct),64,55,337
2025-06-26,(direct),62,50,251
2025-06-28,(direct),62,49,558
2025-06-14,(direct),60,46,343
2025-06-24,(direct),54,40,337
2025-06-29,(direct),53,47,380
2025-07-05,(direct),50,39,527
2025-06-27,(direct),48,38,373
2025-07-07,probance,41,30,226
2025-06-13,probance,39,26,227
2025-06-20,probance,38,28,199
2025-06-24,fb,35,21,123
2025-06-21,probance,29,23,134
2025-06-18,fb,26,17,79
2025-07-05,fb,26,17,70
2025-07-02,fb,25,16,72
2025-06-12,youtube.com,23,16,143
2025-06-15,fb,23,14,54
2025-06-22,fb,23,16,94
2025-06-30,fb,23,13,109
2025-07-06,fb,23,13,82
2025-06-23,fb,22,17,65
2025-07-10,probance,22,14,95
2025-06-12,secure.payplug.com,21,9,104
2025-06-21,youtube.com,21,15,157
2025-06-27,fb,21,9,76
2025-06-29,fb,21,14,67
2025-07-01,fb,21,12,84
2025-07-04,probance,21,11,104
2025-07-08,fb,21,12,88
2025-06-11,secure.payplug.com,20,6,94
2025-06-12,fb,20,10,93
2025-07-07,fb,20,14,39
2025-06-11,probance,19,10,132
2025-06-13,fb,19,11,154
2025-06-16,youtube.com,19,15,80
2025-06-19,youtube.com,19,10,147
2025-06-20,youtube.com,19,9,74
2025-06-23,youtube.com,19,13,122
2025-07-03,fb,19,11,41
2025-06-11,youtube.com,18,16,78
2025-06-14,probance,18,11,153
2025-06-17,fb,18,11,61
2025-06-18,youtube.com,18,14,143
2025-06-23,probance,18,13,109
2025-07-06,youtube.com,18,12,292
2025-06-14,fb,17,7,37
2025-06-16,fb,17,13,58
2025-06-18,secure.payplug.com,17,7,41
2025-06-25,fb,17,8,42
2025-06-26,fb,17,9,28
2025-07-01,probance,17,9,298
2025-06-11,fb,16,12,58
2025-06-19,fb,16,6,21
2025-06-24,probance,16,8,138
2025-07-05,probance,16,11,123
2025-06-17,youtube.com,15,9,57
2025-06-26,probance,15,11,95
2025-06-27,probance,15,11,88
